Inc+A1:F52ident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
181205424,2024-12-31,2,26A,"False pretenses, swindle",1,20G80,"Parking Lot, Garage",1520,ENCLAVE,PKWY,,HOUSTON,77077.0,-95.618945,29.751439
181272824,2024-12-31,2,220,"Burglary, Breaking and Entering",1,10H80,"Commercial, Office Building",2412,HOLCOMBE,BLVD,W,HOUSTON,77030.0,-95.41509,29.706182
181361724,2024-12-31,2,23F,Theft from motor vehicle,1,4F10,"Residence, Home (Includes Apartment)",9774,OAK POINT,DR,,HOUSTON,77055.0,-95.534007,29.792812
181367624,2024-12-31,2,23F,Theft from motor vehicle,1,17E30,"Residence, Home (Includes Apartment)",11715,KENSINGTON,DR,N,HOUSTON,77031.0,-95.551501,29.651099
181434124,2024-12-31,2,13C,Intimidation,1,20G80,"Residence, Home (Includes Apartment)",1620,ENCLAVE,PKWY,,HOUSTON,77077.0,-95.618741,29.750367
181434124,2024-12-31,2,290,"Destruction, damage, vandalism",1,20G80,"Residence, Home (Includes Apartment)",1620,ENCLAVE,PKWY,,HOUSTON,77077.0,-95.618741,29.750367
240025,2024-12-31,3,220,"Burglary, Breaking and Entering",1,15E40,"Residence, Home (Includes Apartment)",2700,WESTRIDGE,ST,,HOUSTON,77054.0,-95.41923,29.682203
566525,2024-12-31,3,240,Motor vehicle theft,1,4F20,"Residence, Home (Includes Apartment)",10010,KEMPWOOD,DR,,HOUSTON,77080.0,-95.539367,29.822691
181165524,2024-12-31,3,13B,Simple assault,1,16E10,"Residence, Home (Includes Apartment)",11900,OAKMOOR,PKWY,,HOUSTON,77045.0,-95.402058,29.642817
181166124,2024-12-31,3,290,"Destruction, damage, vandalism",1,8C10,"Residence, Home (Includes Apartment)",9555,CROFTON,ST,,HOUSTON,77016.0,-95.29882,29.849552
181168224,2024-12-31,3,250,"Counterfeiting, forgery",1,17E10,"Bar, Nightclub",6469,HILLCROFT,AVE,,HOUSTON,77081.0,-95.493687,29.711715
